Date,Category,Amount,Type,UserType,TotalBudget
07-01-2017,Food & Drink,182.97,Expense,college_student,3000
13-01-2017,Food & Drink,204.58,Expense,college_student,3000
14-01-2017,Food & Drink,236.54,Expense,college_student,3000
26-01-2017,Food & Drink,220.88,Expense,college_student,3000
23-01-2017,Food & Drink,274.82,Expense,college_student,3000
07-01-2017,Entertainment,51.76,Expense,college_student,3000
09-01-2017,Entertainment,53.72,Expense,college_student,3000
27-01-2017,Entertainment,62.59,Expense,college_student,3000
05-01-2017,Entertainment,68.51,Expense,college_student,3000
26-01-2017,Entertainment,50.0,Expense,college_student,3000
23-01-2017,Travel,50.0,Expense,college_student,3000
27-01-2017,Travel,50.0,Expense,college_student,3000
10-01-2017,Travel,50.0,Expense,college_student,3000
18-01-2017,Travel,50.0,Expense,college_student,3000
23-01-2017,Travel,50.0,Expense,college_student,3000
18-01-2017,Health & Fitness,50.0,Expense,college_student,3000
27-01-2017,Health & Fitness,63.54,Expense,college_student,3000
20-01-2017,Health & Fitness,64.92,Expense,college_student,3000
04-01-2017,Utilities,85.34,Expense,college_student,3000
17-01-2017,Utilities,81.7,Expense,college_student,3000
16-01-2017,Utilities,77.57,Expense,college_student,3000
16-01-2017,Utilities,80.71,Expense,college_student,3000
26-01-2017,Utilities,89.2,Expense,college_student,3000
14-01-2017,Personal Care,50.0,Expense,college_student,3000
18-01-2017,Personal Care,50.0,Expense,college_student,3000
24-01-2017,Personal Care,50.0,Expense,college_student,3000
19-01-2017,Personal Care,50.0,Expense,college_student,3000
20-01-2017,Rent,88.31,Expense,college_student,3000
07-01-2017,Rent,69.36,Expense,college_student,3000
17-01-2017,Rent,72.29,Expense,college_student,3000
25-01-2017,Rent,53.82,Expense,college_student,3000
25-01-2017,Food & Drink,278.19,Expense,college_student,3000
11-01-2017,Food & Drink,216.54,Expense,college_student,3000
10-01-2017,Food & Drink,287.4,Expense,college_student,3000
13-01-2017,Food & Drink,360.17,Expense,college_student,3000
15-01-2017,Entertainment,89.91,Expense,college_student,3000
16-01-2017,Entertainment,72.05,Expense,college_student,3000
11-01-2017,Entertainment,72.92,Expense,college_student,3000
03-01-2017,Entertainment,56.52,Expense,college_student,3000
08-01-2017,Travel,50.0,Expense,college_student,3000
26-01-2017,Travel,50.0,Expense,college_student,3000
23-01-2017,Travel,50.0,Expense,college_student,3000
23-01-2017,Travel,50.0,Expense,college_student,3000
25-01-2017,Travel,50.0,Expense,college_student,3000
11-01-2017,Health & Fitness,50.0,Expense,college_student,3000
14-01-2017,Health & Fitness,50.0,Expense,college_student,3000
11-01-2017,Health & Fitness,50.0,Expense,college_student,3000
24-01-2017,Health & Fitness,50.0,Expense,college_student,3000
07-01-2017,Health & Fitness,50.0,Expense,college_student,3000
24-01-2017,Utilities,95.12,Expense,college_student,3000
17-01-2017,Utilities,127.97,Expense,college_student,3000
18-01-2017,Utilities,101.5,Expense,college_student,3000
21-01-2017,Utilities,130.37,Expense,college_student,3000
09-01-2017,Personal Care,50.0,Expense,college_student,3000
19-01-2017,Personal Care,50.0,Expense,college_student,3000
02-01-2017,Personal Care,52.02,Expense,college_student,3000
21-01-2017,Rent,57.9,Expense,college_student,3000
11-01-2017,Rent,58.8,Expense,college_student,3000
08-01-2017,Rent,67.62,Expense,college_student,3000
13-01-2017,Rent,54.94,Expense,college_student,3000
02-01-2017,Rent,72.41,Expense,college_student,3000
19-03-2017,Food & Drink,651.62,Expense,college_student,3000
25-03-2017,Food & Drink,587.04,Expense,college_student,3000
18-03-2017,Entertainment,228.8,Expense,college_student,3000
28-03-2017,Entertainment,205.3,Expense,college_student,3000
01-03-2017,Travel,72.06,Expense,college_student,3000
21-03-2017,Travel,59.0,Expense,college_student,3000
12-03-2017,Travel,69.8,Expense,college_student,3000
23-03-2017,Travel,52.14,Expense,college_student,3000
15-03-2017,Travel,50.0,Expense,college_student,3000
03-03-2017,Health & Fitness,54.79,Expense,college_student,3000
17-03-2017,Health & Fitness,58.96,Expense,college_student,3000
12-03-2017,Utilities,109.98,Expense,college_student,3000
18-03-2017,Utilities,85.98,Expense,college_student,3000
22-03-2017,Utilities,113.62,Expense,college_student,3000
05-03-2017,Utilities,93.32,Expense,college_student,3000
02-03-2017,Utilities,94.42,Expense,college_student,3000
27-03-2017,Personal Care,50.0,Expense,college_student,3000
07-03-2017,Personal Care,50.0,Expense,college_student,3000
06-03-2017,Personal Care,50.0,Expense,college_student,3000
05-03-2017,Personal Care,50.0,Expense,college_student,3000
02-03-2017,Personal Care,50.0,Expense,college_student,3000
